,co,nh3,no,no2,o3,pm10,pm2_5,so2,latitude,longitude,Count,AQI,Air_Pollution_Level
0,236.35904,0.29396206,1.5917537,74.894295,185.93085,56.381523,191.91269,0.39786386,40.1911,105.0282,5.0,,
1,227.72926,0.18582307,0.72281677,81.788345,107.38953,44.80102,137.01118,0.2189874,40.1911,105.0282,5.0,,
2,226.57684,0.164898,0.41482896,85.70465,88.303795,38.012196,120.23795,0.28519368,40.1911,105.0282,5.0,,
3,226.86801,0.1567157,0.42973486,86.05787,97.42275,33.895313,104.35524,0.32102218,40.1911,105.0282,5.0,,
4,232.04077,0.18535021,0.7358871,83.921234,129.11244,33.28047,98.65856,0.45084324,40.1911,105.0282,5.0,,
5,248.87952,0.3800111,2.7452614,78.754555,285.62305,35.49063,108.23607,0.840526,40.1911,105.0282,5.0,,
6,258.84705,0.40241525,5.6471457,69.49075,357.52377,38.9175,110.73848,0.66089785,40.1911,105.0282,5.0,,
7,256.2977,0.3025325,7.8960576,66.99766,366.50507,39.352406,101.26045,0.41346756,40.1911,105.0282,5.0,,
8,248.67088,0.23080803,9.428392,65.091446,364.25128,38.9232,97.129005,0.27071348,40.1911,105.0282,5.0,,
9,265.60086,0.9317468,13.615661,58.67241,379.25406,40.390392,80.77161,0.20114774,40.1911,105.0282,5.0,,
10,272.40283,2.4480362,16.728807,58.420002,368.7014,42.86752,91.79114,0.35655102,40.1911,105.0282,5.0,,
11,265.17374,4.00862,18.137785,52.887432,374.22174,43.48188,99.34542,0.53963387,40.1911,105.0282,5.0,,
12,262.9558,4.8851147,18.078068,49.519527,375.80673,47.587276,121.44263,0.74387556,40.1911,105.0282,5.0,,
13,266.22742,5.3971577,18.313229,46.545322,382.04868,50.70248,134.73375,0.8852867,40.1911,105.0282,5.0,,
14,263.15057,5.410514,18.876049,44.54799,382.59518,50.10982,127.4461,0.8445042,40.1911,105.0282,5.0,,
15,254.84392,4.7248354,18.773094,45.637424,370.71994,47.376877,109.10681,0.7480101,40.1911,105.0282,5.0,1802.0,Hazardous
16,250.93297,3.2721083,18.190567,46.691044,357.62143,41.775562,76.4008,0.6738903,40.1911,105.0282,5.0,1802.0,Hazardous
17,249.57222,1.2827631,17.541048,49.52193,346.0551,35.59709,52.597004,0.7636001,40.1911,105.0282,5.0,1802.0,Hazardous
18,246.85536,0.13531898,15.594747,59.851753,344.06766,38.990425,75.65544,0.9207889,40.1911,105.0282,5.0,1766.0,Hazardous
19,258.8417,-0.07429967,14.544979,60.065926,358.10446,49.1918,116.78382,1.400256,40.1911,105.0282,5.0,1766.0,Hazardous
20,289.492,-0.02426927,14.907958,54.42429,379.26846,58.46351,137.19623,2.0175698,40.1911,105.0282,5.0,1903.0,Hazardous
21,332.4524,-0.0234397,16.704235,46.237347,395.90872,64.22138,132.71275,2.38078,40.1911,105.0282,5.0,2156.0,Hazardous
22,369.7516,-0.017875249,19.440968,36.631706,405.59094,70.54632,127.49123,2.803114,40.1911,105.0282,5.0,2375.0,Hazardous
23,393.36887,0.009045182,22.293186,27.812185,400.79916,75.682495,112.42313,3.2564704,40.1911,105.0282,5.0,2514.0,Hazardous
24,407.3774,0.02941395,25.268412,18.779963,398.88965,77.24778,87.50936,3.6003616,40.1911,105.0282,5.0,2596.0,Hazardous
25,416.21735,0.001923411,27.681818,13.002593,395.0047,79.45929,73.8929,3.8056722,40.1911,105.0282,5.0,2648.0,Hazardous
26,418.46698,-0.039757542,29.438906,9.240576,390.90067,81.118,67.08492,3.835973,40.1911,105.0282,5.0,2662.0,Hazardous
27,419.44232,-0.05966175,30.567726,7.5948954,388.35748,83.13821,61.868282,3.9908702,40.1911,105.0282,5.0,2667.0,Hazardous
28,419.32004,-0.07904836,30.271704,11.376326,379.38217,85.211075,60.719254,4.1813545,40.1911,105.0282,5.0,2667.0,Hazardous
29,412.56464,-0.07840721,27.608189,21.924515,365.43973,87.32768,71.4044,4.238019,40.1911,105.0282,5.0,2667.0,Hazardous
30,409.0163,-0.07880072,22.990648,35.191807,356.15894,86.700584,80.53832,4.124375,40.1911,105.0282,5.0,2667.0,Hazardous
31,416.33072,0.0022113777,18.930506,43.959816,358.78183,86.15368,99.186714,3.7773707,40.1911,105.0282,5.0,2667.0,Hazardous
32,428.25195,0.086296335,16.789328,46.781296,368.8375,86.84367,117.909546,3.2232985,40.1911,105.0282,5.0,2719.0,Hazardous
33,435.58252,0.90127224,18.686516,46.21719,390.51764,88.47009,121.63335,2.6354415,40.1911,105.0282,5.0,2762.0,Hazardous
34,437.00626,2.634646,21.293442,46.027,390.07614,90.89835,148.46034,2.3984094,40.1911,105.0282,5.0,2771.0,Hazardous
35,438.52243,3.9694104,20.832432,49.24405,380.64642,96.83862,195.29643,1.945964,40.1911,105.0282,5.0,2780.0,Hazardous
36,449.29495,4.6892443,19.260307,51.246113,381.8676,101.854324,224.62366,1.5436301,40.1911,105.0282,5.0,2843.0,Hazardous
37,464.6864,4.9273605,18.62847,51.315693,382.13397,104.25402,235.48528,1.3922015,40.1911,105.0282,5.0,2933.0,Hazardous
38,478.72253,4.5261636,18.52423,54.783226,379.19397,104.7062,233.6586,1.2180855,40.1911,105.0282,5.0,3016.0,Hazardous
39,488.93112,3.8887222,20.135145,45.921307,388.60074,113.00702,259.7159,1.4655474,40.1911,105.0282,5.0,3076.0,Hazardous
40,490.30807,2.6942883,24.12648,32.101505,390.89838,129.39478,317.38312,1.654622,40.1911,105.0282,5.0,3084.0,Hazardous
41,475.8092,1.0361379,26.69618,20.000673,366.13315,146.68318,392.6486,1.6787242,40.1911,105.0282,5.0,3084.0,Hazardous
42,462.6137,0.049250737,26.162056,16.137926,326.5339,157.45534,460.52417,1.6808197,40.1911,105.0282,5.0,3084.0,Hazardous
43,448.7844,-0.121607244,24.963736,13.881687,311.33563,163.5195,506.02106,1.6699501,40.1911,105.0282,5.0,3084.0,Hazardous
44,441.43216,-0.12378566,24.143358,12.304621,306.40143,167.74422,534.54364,1.650057,40.1911,105.0282,5.0,3084.0,Hazardous
45,440.9274,-0.121517844,23.451103,11.534808,297.28024,168.33241,539.5331,1.5335664,40.1911,105.0282,5.0,3084.0,Hazardous
46,446.08572,-0.07910926,22.52723,11.978166,279.72797,153.35425,455.78015,1.2349591,40.1911,105.0282,5.0,3084.0,Hazardous
47,418.54614,-0.057208076,17.532911,27.84073,214.77403,118.18722,289.2401,0.60387766,40.1911,105.0282,5.0,3084.0,Hazardous
48,358.01004,0.114893906,10.858327,37.56813,151.74931,105.700966,279.9314,0.25983396,40.1911,105.0282,5.0,2999.0,Hazardous
49,315.83652,0.2627324,8.183058,34.45511,160.80954,104.992744,334.1165,0.30608964,40.1911,105.0282,5.0,2921.0,Hazardous
50,301.49936,0.2630828,8.019649,30.297691,179.00153,106.41159,365.38043,0.3849771,40.1911,105.0282,5.0,2840.0,Hazardous
51,301.7182,0.25093514,8.296036,29.618206,185.79243,107.932785,375.34973,0.38326165,40.1911,105.0282,5.0,2824.0,Hazardous
